,query,embedding_output,RT_1,RT_2,RT_submit,catchResponse,species,sameSpecies,pid,birdExperience,attentionWeight,n_reference,n_select,is_ranked
0,./img/warblers_finalized/C2.jpg,"['C2', 'C16', 'C30', 'G8', 'C20', 'G32', 'R27', 'C6', 'R2']",8016,8275,8723,NA,C,False,34939,0,0.8999999999999999,8,2,True
1,./img/warblers_finalized/T26.jpg,"['T26', 'T16', 'T33', 'T0', 'T10', 'T4', 'T32', 'T18', 'T38']",9548,10896,11356,NA,T,True,34939,0,0.8999999999999999,8,2,True
2,./img/warblers_finalized/R14.jpg,"['R14', 'R16', 'R38', 'G3', 'T15', 'C26', 'T7', 'G12', 'C21']",1412,3621,4182,NA,R,False,34939,0,0.8999999999999999,8,2,True
3,./img/warblers_finalized/R28.jpg,"['R28', 'R35', 'R18', 'C33', 'T8', 'R11', 'T1', 'G26', 'R16']",2480,4695,5244,NA,R,False,34939,0,0.8999999999999999,8,2,True
4,./img/warblers_finalized/G32.jpg,"['G32', 'G39', 'G33', 'T22', 'T26', 'R16', 'T7', 'R17', 'R4']",4510,4761,5149,NA,G,False,34939,0,0.8999999999999999,8,2,True
5,./img/warblers_finalized/G21.jpg,"['G21', 'G25', 'G10', 'G26', 'G18', 'G4', 'G2', 'G33', 'G16']",2058,3473,3677,NA,G,True,34939,0,0.8999999999999999,8,2,True
6,./img/warblers_finalized/T25.jpg,"['T25', 'T2', 'T7', 'G30', 'G12', 'R10', 'C4', 'R17', 'C31']",5946,7485,7828,NA,T,False,34939,0,0.8999999999999999,8,2,True
7,./img/warblers_finalized/R30.jpg,"['R30', 'R37', 'R27', 'R22', 'R23', 'R12', 'R6', 'R3', 'R9']",3909,7214,7796,NA,R,True,34939,0,0.8999999999999999,8,2,True
8,./img/warblers_finalized/G4.jpg,"['G4', 'G1', 'G7', 'G13', 'G38', 'G23', 'G30', 'G29', 'G35']",3310,3773,4224,NA,G,True,34939,0,0.8999999999999999,8,2,True
9,./img/warblers_finalized/G13.jpg,"['G13', 'G30', 'G38', 'R27', 'C22', 'R11', 'C28', 'T6', 'T18']",9084,9715,10255,NA,G,False,34939,0,0.8999999999999999,8,2,True
10,./img/warblers_finalized/T22.jpg,"['T22', 'T6', 'T10', 'R31', 'R7', 'R0', 'C32', 'T7', 'T2']",4009,6005,6807,NA,T,False,34939,0,0.8999999999999999,8,2,True
11,./img/warblers_finalized/R4.jpg,"['R4', 'R37', 'R3', 'R22', 'R2', 'R5', 'R10', 'R8', 'R6']",18619,20568,21099,NA,R,True,34939,0,0.8999999999999999,8,2,True
